"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-3"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 2015年（平成27年）の人口（組替），2015年（平成27年）の世帯数（組替），5年間の人口増減数，5年間の人口増減率，5年間の世帯増減数，5年間の世帯増減率，人口性比，面積（参考）及び人口密度－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","/表章事項 コード","2020_03","2020_15","2020_34","2020_35","2020_36","2020_37","2020_46","2020_47","2020_48"
"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/表章事項","2015年（平成27年）の人口（組替）【人】","2015年（平成27年）の世帯数（組替）【世帯】","5年間の人口増減数【人】","5年間の人口増減率【％】","5年間の世帯増減数【世帯】","5年間の世帯増減率【％】","人口性比","面積（参考）【km2】","人口密度【1km2当たり】"
"2020000000","2020年","00000","全国","","127,094,745","53,448,685","-948,646","-0.74641","2,381,469","4.45562","94.68037","377,976.41","338.2"
"2020000000","2020年","01000","北海道","","5,381,733","2,444,810","-157,119","-2.91949","32,036","1.31037","89.33012","83,424.44","66.6"
"2020000000","2020年","01100","札幌市","","1,952,356","921,837","21,039","1.07762","47,324","5.13366","87.10256","1,121.26","1,760.0"
"2020000000","2020年","01101","札幌市中央区","","237,627","132,006","11,053","4.65141","9,423","7.13831","83.08584","46.42","5,357.2"
"2020000000","2020年","01102","札幌市北区","","285,321","133,662","4,002","1.40263","6,013","4.49866","89.43802","63.57","4,551.3"
"2020000000","2020年","01103","札幌市東区","","261,912","124,425","3,467","1.32373","6,763","5.43540","90.43242","56.97","4,658.2"
"2020000000","2020年","01104","札幌市白石区","","209,584","104,608","2,251","1.07403","3,625","3.46532","89.52251","34.47","6,145.5"
"2020000000","2020年","01105","札幌市豊平区","","218,652","110,171","6,646","3.03953","8,479","7.69622","85.97537","46.23","4,873.4"
"2020000000","2020年","01106","札幌市南区","","141,190","61,291","-5,413","-3.83384","843","1.37541","84.90671","657.48","206.5"
"2020000000","2020年","01107","札幌市西区","","213,578","97,750","3,462","1.62095","6,099","6.23939","85.48366","75.10","2,890.0"
"2020000000","2020年","01108","札幌市厚別区","","127,767","55,585","-2,684","-2.10070","1,704","3.06558","83.06258","24.38","5,130.6"
"2020000000","2020年","01109","札幌市手稲区","","140,999","57,333","1,626","1.15320","3,747","6.53550","88.37833","56.77","2,512.3"
"2020000000","2020年","01110","札幌市清田区","","115,726","45,006","-3,371","-2.91291","628","1.39537","89.14028","59.87","1,876.6"
"2020000000","2020年","01202","函館市","","265,979","123,950","-14,895","-5.60007","-2,157","-1.74022","83.11394","677.87","370.4"
"2020000000","2020年","0120B","（旧：函館市）","","254,157","119,177","-13,133","-5.16728","-1,711","-1.43568","82.95430","346.90","694.8"
"2020000000","2020年","01339","（旧：戸井町）","","2,677","1,067","-386","-14.41913","-101","-9.46579","81.10672","53.04","43.2"
"2020000000","2020年","01340","（旧：恵山町）","","2,993","1,287","-507","-16.93953","-139","-10.80031","88.04841","94.27","26.4"
"2020000000","2020年","01341","（旧：椴法華村）","","910","396","-165","-18.13187","-46","-11.61616","83.04668","24.92","29.9"
"2020000000","2020年","01342","（旧：南茅部町）","","5,242","2,023","-704","-13.42999","-160","-7.90905","90.27254","158.35","28.7"
"2020000000","2020年","01203","小樽市","","121,924","55,466","-10,625","-8.71445","-2,649","-4.77590","81.97113","243.83","456.5"
"2020000000","2020年","01204","旭川市","","339,605","155,747","-10,299","-3.03264","448","0.28765","85.84070","747.66","440.4"
